datetime,latitude,longitude,altitude,height,backscatter_coeff,extinction_coeff,aod_550,pm25_est,depolarization_ratio,signal_to_noise
2023/1/1 0:00,39.9,116.4,43.5,0,0.00025,0.0052,0.32,45.5,0.08,25.8
2023/1/1 1:00,39.9,116.4,43.5,100,0.00018,0.0041,0.32,45.5,0.07,32.2
2023/1/1 2:00,39.9,116.4,43.5,200,0.00015,0.0038,0.32,45.5,0.06,35.5
2023/1/1 3:00,39.9,116.4,43.5,300,0.00012,0.0032,0.32,45.5,0.05,38.8
2023/1/1 4:00,39.9,116.4,43.5,500,0.00008,0.0021,0.32,45.5,0.04,42.1
2023/1/1 5:00,39.9,116.4,43.5,1000,0.00005,0.0012,0.32,45.5,0.03,45.4
2023/1/1 6:00,39.9,116.4,43.5,0,0.00028,0.0058,0.36,50.2,0.09,24.5
2023/1/1 7:00,39.9,116.4,43.5,100,0.00021,0.0045,0.36,50.2,0.08,30.8
2023/1/1 8:00,39.9,116.4,43.5,200,0.00018,0.0042,0.36,50.2,0.07,34.1
2023/1/1 9:00,39.9,116.4,43.5,300,0.00015,0.0036,0.36,50.2,0.06,37.4
2023/1/1 10:00,39.9,116.4,43.5,500,0.00011,0.0025,0.36,50.2,0.05,40.7
2023/1/1 11:00,39.9,116.4,43.5,1000,0.00007,0.0015,0.36,50.2,0.04,44
2023/1/1 12:00,39.9,116.4,43.5,0,0.00032,0.0065,0.41,56.8,0.1,23.2
2023/1/1 13:00,39.9,116.4,43.5,100,0.00025,0.0051,0.41,56.8,0.09,29.5
2023/1/1 14:00,39.9,116.4,43.5,200,0.00022,0.0048,0.41,56.8,0.08,32.8
2023/1/1 15:00,39.9,116.4,43.5,300,0.00019,0.0042,0.41,56.8,0.07,36.1
2023/1/1 16:00,39.9,116.4,43.5,500,0.00015,0.003,0.41,56.8,0.06,39.4
2023/1/1 17:00,39.9,116.4,43.5,1000,0.00009,0.0018,0.41,56.8,0.05,42.7
2023/1/1 18:00,39.9,116.4,43.5,0,0.00025,0.0052,0.32,45.5,0.08,25.8
2023/1/1 19:00,39.9,116.4,43.5,100,0.00018,0.0041,0.32,45.5,0.07,32.2
2023/1/1 20:00,39.9,116.4,43.5,200,0.00015,0.0038,0.32,45.5,0.06,35.5
2023/1/1 21:00,39.9,116.4,43.5,300,0.00012,0.0032,0.32,45.5,0.05,38.8
2023/1/1 22:00,39.9,116.4,43.5,500,0.00008,0.0021,0.32,45.5,0.04,42.1
2023/1/1 23:00,39.9,116.4,43.5,1000,0.00005,0.0012,0.32,45.5,0.03,45.4
2023/1/2 23:00,39.9,116.4,43.5,0,0.00028,0.0058,0.36,50.2,0.09,24.5
2023/1/3 23:00,39.9,116.4,43.5,100,0.00021,0.0045,0.36,50.2,0.08,30.8
